method,K,instance,objective,full_objective,objective_ratio,time,success,signed_nullspace_obj,x_std_norm,y_support_dim,case,title,family,intrinsic_K,message
Full,30,grow7_test_00006,47788355.0834065,47788355.0834065,1.0,0.2616078000282869,1.0,,,,grow7,GROW7,netlib,,
Full,30,grow7_test_00007,47789429.89114975,47789429.89114975,1.0,0.2673018000787124,1.0,,,,grow7,GROW7,netlib,,
Full,30,grow7_test_00008,47790538.32057515,47790538.32057515,1.0,0.2798367000650614,1.0,,,,grow7,GROW7,netlib,,
Full,30,grow7_test_00009,47788954.95257182,47788954.95257182,1.0,0.241631899960339,1.0,,,,grow7,GROW7,netlib,,
Full,30,grow7_test_00010,47788971.41571057,47788971.41571057,1.0,0.3057504000607878,1.0,,,,grow7,GROW7,netlib,,
Full,30,grow7_test_00011,47790820.71521506,47790820.71521506,1.0,0.3110032000113278,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00000,47791245.32398097,47791245.32398097,1.0,0.2024523000000044,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00001,47789654.912793584,47789654.912793584,1.0,0.222963000065647,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00002,47789577.22636736,47789577.22636736,1.0,0.2301150999264791,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00003,47793439.94186266,47793439.94186266,1.0,0.1845347000053152,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00004,47790264.16330245,47790264.16330245,1.0,0.2352542000589892,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00005,47788232.22720928,47788232.22720928,1.0,0.2222355999983847,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00006,47788355.0834065,47788355.0834065,1.0,0.2616078000282869,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00007,47789429.89114975,47789429.89114975,1.0,0.2673018000787124,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00008,47790538.32057515,47790538.32057515,1.0,0.2798367000650614,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00009,47788954.95257182,47788954.95257182,1.0,0.241631899960339,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00010,47788971.41571057,47788971.41571057,1.0,0.3057504000607878,1.0,,,,grow7,GROW7,netlib,,
Full,40,grow7_test_00011,47790820.71521506,47790820.71521506,1.0,0.3110032000113278,1.0,,,,grow7,GROW7,netlib,,
Full,50,grow7_test_00000,47791245.32398097,47791245.32398097,1.0,0.2024523000000044,1.0,,,,grow7,GROW7,netlib,,
Full,50,grow7_test_00001,47789654.912793584,47789654.912793584,1.0,0.222963000065647,1.0,,,,grow7,GROW7,netlib,,
Full,50,grow7_test_00002,47789577.22636736,47789577.22636736,1.0,0.2301150999264791,1.0,,,,grow7,GROW7,netlib,,
